Comp,Townsville Oceania Championships,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,28th June 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATHLETE:,Alex Hulley,,,,,,,,,,,,,,PB,,,,,,,,,,,,,
,Round,1,,2,,3,,4,,5,,6,,,,,,,,,,,,,,,,
,,63.35,,X,,65.81,,64.93,,60.3,,64.11,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data entry,,,,,,,,,,,,,,,PB,,,,,,,,,,,,,
Turn 1,R Off,9.11,,6.47,,4.54,,9.12,,3.17,,11.8,,,,,,,,,,,,,,,,
,R On,9.42,,6.76,,4.86,,9.42,,3.48,,12.12,,,,,,,,,,,,,,,,
,L Toe up (confirm on report),9.72,,7.06,,5.16,,9.74,,3.8,,12.4,,,,,,,,,,,,,,,,
Turn 2,R Off,9.79,,7.15,,5.22,,9.78,,3.9,,12.49,,,,,,,,,,,,,,,,
,R On,10.03,,7.4,,5.46,,10.02,,4.12,,12.72,,,,,,,,,,,,,,,,
,L Toe Up,10.26,,7.62,,5.68,,10.26,,4.34,,12.94,,,,,,,,,,,,,,,,
Turn 3,R Off,10.31,,7.64,,5.72,,10.29,,4.38,,13,,,,,,,,,,,,,,,,
,R On,10.56,,7.88,,5.98,,10.54,,4.64,,13.26,,,,,,,,,,,,,,,,
,L Toe Up,10.72,,8.03,,6.14,,10.72,,4.82,,13.4,,,,,,,,,,,,,,,,
Turn 4 ,R Off,10.79,,8.1,,6.18,,10.78,,4.88,,13.47,,,,,,,,,,,,,,,,
,R On,11.06,,8.38,,6.48,,11.04,,5.14,,13.72,,,,,,,,,,,,,,,,
,L Toe Up,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Release,11.31,,8.66,,6.72,,11.3,,5.42,,14,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,x,y,x,y,x,y,x,y,x,y,x,y,,x,y,,,,,,,,,,,,
Hammer coordinates,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,In hand,814,641,870,749,807,675,747,661,860,687,905,813,,,,,,,,,,,,,,,
Release,Out of hand 1,879,707,941,815,875,743,819,732,920,749,973,874,,,,,,,,,,,,,,,
Release + 1,Out of hand 2,945,773,1013,882,943,813,893,805,982,813,1039,936,,,,,,,Calibration,,,,,,,,
,Out of hand 3,1010,836,1084,949,1007,882,964,875,1043,878,1103,996,,,,,,,,Dimensions of pole used (m),,,,,,628,428
,,,,,,,,,,,,,,,,,,,,,x,2.135,,horizontal length,,,,
,,,,,,,,,,,,,,,,,,,,,y,1.525,,height,,,,
,,44.6,44.6,43.1,43.1,46.5,46.5,44.6,44.6,46.4,46.4,43.2,43.2,,#DIV/0!,#DIV/0!,,,,,,,,,,,,
,,Angle of Release,Angle of Attack,Angle of Release,Angle of Attack,Angle of Release,Angle of Attack,Angle of Release,Angle of Attack,Angle of Release,Angle of Attack,Angle of Release,Angle of Attack,,Angle of Release,Angle of Attack,,,,,For 4 point Cal,,,,,,,
,Angle of Release,45,-0.4,42.9,0.2,45.8,0.6,44.6,0,45.9,0.5,43.2,0,,#DIV/0!,#DIV/0!,,,,Pt 1,808,47,Front of circle - ground,,,,,
,,,,,,,,,,,,,,,,,,,,Pt 2,,,Front of circle - 1.8m,,,,,scale factor
,,x diff,y diff,x diff,y diff,x diff,y diff,x diff,y diff,x diff,y diff,x diff,y diff,,x diff,y diff,,,,Pt 3,,,Back of circle -1.8m,,,x,737,0.002897
,,66,66,72,67,68,70,74,73,62,64,66,62,,0,0,,,,Pt 4,72,18,Back of circle - ground,,,y,511,0.002984
,,0.19,0.2,0.21,0.2,0.2,0.21,0.21,0.22,0.18,0.19,0.19,0.19,,0,0,,,,,34.7,,,,,34.7,,
,Velocity,19.12,19.7,20.86,20,19.7,20.89,21.44,21.79,17.96,19.1,19.12,18.5,,0,0,,,,,Scale angle to horizontal,,,,,actual ground,,*used for Height of Release calc.
,,,,,,,,,,,,,,,,,,,,Coversion if sampling frequency not picked up correctly.,,,,,,horizontal,vertical,
,Height of Release,-1.978620352,,-2.30092955,,-2.086056751,,-2.053228963,,-2.103962818,,-2.477005871,,,0.131311155,,,,,,,Sampling rate,,,,x,y,
,,,,,,,,,,,,,,,,,,,,fps,100,0.01,,,,809,44,
