Comp,Townsville Oceania Championships,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,28th June 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATHLETE:,Alex Hulley,,,,,,,,,,,,,,PB,,,,,,,,,,,,,
,Round,1,,2,,3,,4,,5,,6,,,,,,,,,,,,,,,,
,cos 38.7 = 15.93/res,27.03891901,,28.49121601,,28.27092932,,30.11222017,,25.81312846,,26.23235722,,,,,,,Swinger assumes (fps),,50,0.02,,,,,,
,resl = 15.93/cos38.97,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,conversion required,,1,*only used if conversion issue otherwise change,,,,
,,,,,,,,,,,,,,,,,,,,,,,, to 1 to avoid temporal data being adjusted,,,,
Calculated duration of interval from Right Foot Plant to Left Toe Up (or Heel Down - if so alter on front page) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turn 1,,0.3,,0.3,,0.3,,0.32,,0.32,,0.28,,,0,,,,,,,,,,,,,
Turn 2,,0.23,,0.22,,0.22,,0.24,,0.22,,0.22,,,0,,,,,,,,,,,,,
Turn 3,,0.16,,0.15,,0.16,,0.18,,0.18,,0.14,,,0,,,,,,,,,,,,,
Turn 4,,0.25,,0.28,,0.24,,0.26,,0.28,,0.28,,,0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calculated times for single and double support phases and as a percentage of total throw time included in report,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turn 1,Single (s),0.31,,0.29,,0.32,,0.3,,0.31,,0.32,,,0,,,,,,,,,,,,,
,Double (s),0.37,,0.39,,0.36,,0.36,,0.42,,0.37,,,0,,,,,,,,,,,,,
Turn 2,Single (s),0.24,,0.25,,0.24,,0.24,,0.22,,0.23,,,0,,,,,,,,,,,,,
,Double (s),0.28,,0.24,,0.26,,0.27,,0.26,,0.28,,,0,,,,,,,,,,,,,
Turn 3,Single (s),0.25,,0.24,,0.26,,0.25,,0.26,,0.26,,,0,,,,,,,,,,,,,
,Double (s),0.23,,0.22,,0.2,,0.24,,0.24,,0.21,,,0,,,,,,,,,,,,,
Turn 4,Single (s),0.27,,0.28,,0.3,,0.26,,0.26,,0.25,,,0,,,,,,,,,,,,,
,Double (s),0.25,,0.28,,0.24,,0.26,,0.28,,0.28,,,0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calculated throw time and time for each turn (and as percentage of total throw time on report),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turn 1,,0.68,,0.68,,0.68,,0.66,,0.73,,0.69,,,0,,,,,,,,,,,,,
Turn 2,,0.52,,0.49,,0.5,,0.51,,0.48,,0.51,,,0,,,,,,,,,,,,,
Turn 3,,0.48,,0.46,,0.46,,0.49,,0.5,,0.47,,,0,,,,,,,,,,,,,
Turn 4,,0.52,,0.56,,0.54,,0.52,,0.54,,0.53,,,0,,,,,,,,,,,,,
Total throw time,,2.2,,2.19,,2.18,,2.18,,2.25,,2.2,,,0,,,,,,,,,,,,,
