Comp,Sydney National Championships - Final,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,5th April 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATHLETE:,Ned Weatherly,,,,,,,,,,,,,,PB,,,,,,,,,,,,,
,Round,1,,2,,3,,4,,5,,6,,,,,,,,,,,,,,,,
,,60.21,,X,,60.94,,62.52,,60.97,,59.91,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data entry,,,,,,,,,,,,,,,PB,,,,,,,,,,,,,
Turn 1,R Off,3.56,,6.26,,6.9,,10.24,,5.28,,7.7,,,,,,,,,,,,,,,,
,R On,3.84,,6.5,,7.14,,10.5,,5.54,,7.95,,,,,,,,,,,,,,,,
,L Toe up (confirm on report),4.08,,6.76,,7.36,,10.7,,5.78,,8.18,,,,,,,,,,,,,,,,
Turn 2,R Off,4.18,,6.82,,7.49,,10.8,,5.87,,8.26,,,,,,,,,,,,,,,,
,R On,4.38,,7.04,,7.68,,10.98,,6.06,,8.46,,,,,,,,,,,,,,,,
,L Toe Up,4.6,,7.26,,7.88,,11.2,,6.27,,8.66,,,,,,,,,,,,,,,,
Turn 3,R Off,4.64,,7.32,,7.94,,11.22,,6.32,,8.71,,,,,,,,,,,,,,,,
,R On,4.86,,7.52,,8.14,,11.44,,6.52,,8.9,,,,,,,,,,,,,,,,
,L Toe Up,5.06,,7.72,,8.34,,11.64,,6.7,,9.12,,,,,,,,,,,,,,,,
Turn 4 ,R Off,5.12,,7.76,,8.36,,11.68,,6.74,,9.16,,,,,,,,,,,,,,,,
,R On,5.34,,8,,8.6,,11.9,,6.98,,9.38,,,,,,,,,,,,,,,,
,L Toe Up,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Release,5.61,,8.28,,8.89,,12.19,,7.28,,9.67,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,x,y,x,y,x,y,x,y,x,y,x,y,,x,y,,,,,,,,,,,,
Hammer coordinates,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,In hand,899,528,982,616,908,550,942,570,946,484,944,584,,,,,,,,,,,,,,,
Release,Out of hand 1,952,573,1029,657,962,598,999,618,1006,528,998,629,,,,,,,,,,,,,,,
Release + 1,Out of hand 2,1007,616,1077,701,1018,644,1056,664,1066,572,1053,674,,,,,,,Calibration,,,,,,,,
,Out of hand 3,1061,662,1123,741,1074,689,1112,710,1125,616,1107,717,,,,,,,,Dimensions of pole used (m),,,,,,628,428
,,,,,,,,,,,,,,,,,,,,,x,2.135,,horizontal length,,,,
,,,,,,,,,,,,,,,,,,,,,y,1.525,,height,,,,
,,39.2,39.2,41.8,41.8,39.1,39.1,39.2,39.2,36.5,36.5,32.6,32.6,,#DIV/0!,#DIV/0!,,,,,,,,,,,,
,,Angle of Release,Angle of Attack,Angle of Release,Angle of Attack,Angle of Release,Angle of Attack,Angle of Release,Angle of Attack,Angle of Release,Angle of Attack,Angle of Release,Angle of Attack,,Angle of Release,Angle of Attack,,,,,For 4 point Cal,,,,,,,
,Angle of Release,38,1.2,42.5,-0.7,39.4,-0.3,38.9,0.2,36.3,0.2,39.3,-6.7,,#DIV/0!,#DIV/0!,,,,Pt 1,713,48,Front of circle - ground,,,,,
,,,,,,,,,,,,,,,,,,,,Pt 2,,,Front of circle - 1.8m,,,,,scale factor
,,x diff,y diff,x diff,y diff,x diff,y diff,x diff,y diff,x diff,y diff,x diff,y diff,,x diff,y diff,,,,Pt 3,,,Back of circle -1.8m,,,x,612,0.003382
,,55,43,48,44,56,46,57,46,60,44,55,45,,0,0,,,,Pt 4,80,51,Back of circle - ground,,,y,444,0.003435
,,0.19,0.15,0.16,0.15,0.19,0.16,0.19,0.16,0.2,0.15,0.19,0.15,,0,0,,,,,-36,,,,,36,,
,Velocity,18.6,14.54,16.24,14.88,18.94,15.56,19.28,15.56,20.29,14.88,18.6,15.22,,0,0,,,,,Scale angle to horizontal,,,,,actual ground,,*used for Height of Release calc.
,,,,,,,,,,,,,,,,,,,,Coversion if sampling frequency not picked up correctly.,,,,,,horizontal,vertical,
,Height of Release,-1.813513514,,-2.102027027,,-1.899380631,,-1.803209459,,-1.658952703,,-2.005855856,,,0.154560811,,,,,,,Sampling rate,,,,x,y,
,,,,,,,,,,,,,,,,,,,,fps,100,0.01,,,,706,45,
,cos 38.7 = 15.93/res,23.61357191,,22.02428669,,24.51214303,,24.77443658,,25.16616062,,24.03613377,,,,,,,Swinger assumes (fps),,50,0.02,,,,,,
,resl = 15.93/cos38.97,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,conversion required,,1,*only used if conversion issue otherwise change,,,,
,,,,,,,,,,,,,,,,,,,,,,,, to 1 to avoid temporal data being adjusted,,,,
Calculated duration of interval from Right Foot Plant to Left Toe Up (or Heel Down - if so alter on front page) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turn 1,,0.24,,0.26,,0.22,,0.2,,0.24,,0.23,,,0,,,,,,,,,,,,,
Turn 2,,0.22,,0.22,,0.2,,0.22,,0.21,,0.2,,,0,,,,,,,,,,,,,
Turn 3,,0.2,,0.2,,0.2,,0.2,,0.18,,0.22,,,0,,,,,,,,,,,,,
Turn 4,,0.27,,0.28,,0.29,,0.29,,0.3,,0.29,,,0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calculated times for single and double support phases and as a percentage of total throw time included in report,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turn 1,Single (s),0.28,,0.24,,0.24,,0.26,,0.26,,0.25,,,0,,,,,,,,,,,,,
,Double (s),0.34,,0.32,,0.35,,0.3,,0.33,,0.31,,,0,,,,,,,,,,,,,
Turn 2,Single (s),0.2,,0.22,,0.19,,0.18,,0.19,,0.2,,,0,,,,,,,,,,,,,
,Double (s),0.26,,0.28,,0.26,,0.24,,0.26,,0.25,,,0,,,,,,,,,,,,,
Turn 3,Single (s),0.22,,0.2,,0.2,,0.22,,0.2,,0.19,,,0,,,,,,,,,,,,,
,Double (s),0.26,,0.24,,0.22,,0.24,,0.22,,0.26,,,0,,,,,,,,,,,,,
Turn 4,Single (s),0.22,,0.24,,0.24,,0.22,,0.24,,0.22,,,0,,,,,,,,,,,,,
,Double (s),0.27,,0.28,,0.29,,0.29,,0.3,,0.29,,,0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calculated throw time and time for each turn (and as percentage of total throw time on report),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turn 1,,0.62,,0.56,,0.59,,0.56,,0.59,,0.56,,,0,,,,,,,,,,,,,
Turn 2,,0.46,,0.5,,0.45,,0.42,,0.45,,0.45,,,0,,,,,,,,,,,,,
Turn 3,,0.48,,0.44,,0.42,,0.46,,0.42,,0.45,,,0,,,,,,,,,,,,,
Turn 4,,0.49,,0.52,,0.53,,0.51,,0.54,,0.51,,,0,,,,,,,,,,,,,
Total throw time,,2.05,,2.02,,1.99,,1.95,,2,,1.97,,,0,,,,,,,,,,,,,
