Comp,Wellington Capital Classic,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,29/02/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATHLETE:,Alex Hulley,,,,,,,,,,,,,,PB,,,,,,,,,,,,,
,Round,1,,2,,3,,4,,5,,6,,,,,,,,,,,,,,,,
,,X,,X,,62.47,,,,63.97,,X,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data entry,,,,,,,,,,,,,,,PB,,,,,,,,,,,,,
,,43.2,43.2,31,31,43.6,43.6,#DIV/0!,#DIV/0!,42.9,42.9,37.1,37.1,,#DIV/0!,#DIV/0!,,,,,,,,,,,,
,,Angle of Release,Angle of Attack,Angle of Release,Angle of Attack,Angle of Release,Angle of Attack,Angle of Release,Angle of Attack,Angle of Release,Angle of Attack,Angle of Release,Angle of Attack,,Angle of Release,Angle of Attack,,,,,For 4 point Cal,,,,,,,
,Angle of Release,43.1,0.1,31.8,-0.7,43.3,0.2,#DIV/0!,#DIV/0!,42.8,0.1,37.6,-0.5,,#DIV/0!,#DIV/0!,,,,Pt 1,697,144,Front of circle - ground,,,,250.36,620
,,,,,,,,,,,,,,,,,,,,Pt 2,,,Front of circle - 1.8m,,,,,scale factor
,,x diff,y diff,x diff,y diff,x diff,y diff,x diff,y diff,x diff,y diff,x diff,y diff,,x diff,y diff,,,,Pt 3,,,Back of circle -1.8m,,,x,569,0.003735
,,42,39,52.67,31,52,50,0,0,63.67,60,55.33,42,,0,0,,,,Pt 4,127,132,Back of circle - ground,,,y,241,0.00388
,,0.16,0.15,0.2,0.12,0.19,0.19,0,0,0.24,0.23,0.21,0.16,,0,0,,,,,23,,,,,23,,
,Velocity,15.69,15.13,19.67,12.03,19.42,19.4,0,0,23.78,23.28,20.66,16.29,,0,0,,,,,Scale angle to horizontal,,,,,actual ground,,*used for Height of Release calc.
,,,,,,,,,,,,,,,,,,,,Coversion if sampling frequency not picked up correctly.,,,,,,horizontal,vertical,
,Height of Release,-2.50626556,,-2.715767635,,-2.537302905,,0.547033195,,-2.323921162,,-2.479107884,,,0.547033195,,,,,,,Sampling rate,,,,x,y,
