Comp,Canberra Track Classic,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,28th January 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATHLETE:,Caitlyn Hester,,,,,,,,,,,,,,PB,,,,,,,,,,,,,
,Round,1,,2,,3,,4,,5,,6,,,,,,,,,,,,,,,,
,,55.99,,X,,53.6,,54.81,,56.95,,58.66,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data entry,,,,,,,,,,,,,,,PB,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,x,2.135,,horizontal length,,,,
,,,,,,,,,,,,,,,,,,,,,y,2.03,,height,,,,
,,40.1,40.1,46.1,46.1,34.6,34.6,39.7,39.7,39.5,39.5,40.4,40.4,,#DIV/0!,#DIV/0!,,,,,,,,,,,,
,,Angle of Release,Angle of Attack,Angle of Release,Angle of Attack,Angle of Release,Angle of Attack,Angle of Release,Angle of Attack,Angle of Release,Angle of Attack,Angle of Release,Angle of Attack,,Angle of Release,Angle of Attack,,,,,For 4 point Cal,,,,,,,
,Angle of Release,39.5,0.6,45.9,0.2,34.7,-0.1,39.2,0.5,39.4,0,41.5,-1.1,,#DIV/0!,#DIV/0!,,,,Pt 1,1076,117,Front of circle - ground,,,,,
,,,,,,,,,,,,,,,,,,,,Pt 2,,,Front of circle - 1.8m,,,,,scale factor
,,x diff,y diff,x diff,y diff,x diff,y diff,x diff,y diff,x diff,y diff,x diff,y diff,,x diff,y diff,,,,Pt 3,,,Back of circle -1.8m,,,x,1178,0.002547
,,86,71,64,66,91,63,81,70,79,65,78,69,,0,0,,,,Pt 4,227,112,Back of circle - ground,,,y,814,0.002494
,,0.22,0.18,0.16,0.16,0.23,0.16,0.21,0.17,0.2,0.16,0.2,0.17,,0,0,,,,,-34.6,,,,,34.6,,
,Velocity,21.9,17.71,16.3,16.46,23.17,15.71,20.63,17.46,20.12,16.21,19.86,17.21,,0,0,,,,,Scale angle to horizontal,,,,,actual ground,,*used for Height of Release calc.
,,,,,,,,,,,,,,,,,,,,Coversion if sampling frequency not picked up correctly.,,,,,,horizontal,vertical,
,Height of Release,-1.546191646,,-1.945208845,,-1.503796069,,-1.271867322,,-1.553673219,,-1.483845209,,,0.291781327,,,,,,,Sampling rate,,,,x,y,
,,,,,,,,,,,,,,,,,,,,fps,100,0.01,,,,1332,117,
,,,,,,,,,,,,,,,,,,,Swinger assumes (fps),,50,0.02,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,conversion required,,1,*only used if conversion issue otherwise change,,,,
,,,,,,,,,,,,,,,,,,,,,,,, to 1 to avoid temporal data being adjusted,,,,
Calculated duration of interval from Right Foot Plant to Left Toe Up (or Heel Down - if so alter on front page) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turn 1,,0.28,,0.24,,0.26,,0.28,,0.3,,0.28,,,0,,,,,,,,,,,,,
Turn 2,,0.24,,0.2,,0.22,,0.2,,0.2,,0.22,,,0,,,,,,,,,,,,,
Turn 3,,0.16,,0.18,,0.18,,0.18,,0.18,,0.2,,,0,,,,,,,,,,,,,
Turn 4,,0.29,,0.29,,0.25,,0.31,,0.26,,0.27,,,0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calculated times for single and double support phases and as a percentage of total throw time included in report,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turn 1,Single (s),0.26,,0.28,,0.27,,0.26,,0.26,,0.27,,,0,,,,,,,,,,,,,
,Double (s),0.38,,0.36,,0.32,,0.34,,0.32,,0.33,,,0,,,,,,,,,,,,,
Turn 2,Single (s),0.2,,0.22,,0.22,,0.24,,0.24,,0.23,,,0,,,,,,,,,,,,,
,Double (s),0.28,,0.27,,0.29,,0.26,,0.25,,0.26,,,0,,,,,,,,,,,,,
Turn 3,Single (s),0.22,,0.21,,0.21,,0.24,,0.27,,0.24,,,0,,,,,,,,,,,,,
,Double (s),0.22,,0.23,,0.26,,0.22,,0.22,,0.24,,,0,,,,,,,,,,,,,
Turn 4,Single (s),0.28,,0.27,,0.24,,0.24,,0.26,,0.24,,,0,,,,,,,,,,,,,
,Double (s),0.29,,0.29,,0.25,,0.31,,0.26,,0.27,,,0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calculated throw time and time for each turn (and as percentage of total throw time on report),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turn 1,,0.64,,0.64,,0.59,,0.6,,0.58,,0.6,,,0,,,,,,,,,,,,,
Turn 2,,0.48,,0.49,,0.51,,0.5,,0.49,,0.49,,,0,,,,,,,,,,,,,
Turn 3,,0.44,,0.44,,0.47,,0.46,,0.49,,0.48,,,0,,,,,,,,,,,,,
Turn 4,,0.57,,0.56,,0.49,,0.55,,0.52,,0.51,,,0,,,,,,,,,,,,,
Total throw time,,2.13,,2.13,,2.06,,2.11,,2.08,,2.08,,,0,,,,,,,,,,,,,
