"","dataname","Name","Competition","Round","Distance","InHandx","InHandy","OutHand1x","OutHand1y","OutHand2x","OutHand2y","OutHand3x","OutHand3y","Angle1","Angle2","Angle3","AngleAvg","HVel1","VVel1","HVel2","VVel2","HVel3","VVel3","HVelAvg","VVelAvg","RVel1","RVel2","RVel3","RVelAvg","RVelfromAvg","DUTurn1","DUTurn2","DUTurn3","DUTurn4","Turn1Single","Turn1Double","Turn2Single","Turn2Double","Turn3Single","Turn3Double","Turn4Single","Turn4Double","Turn1","Turn2","Turn3","Turn4","TotalTime","Turn1SinglePC","Turn1DoublePC","Turn2SinglePC","Turn2DoublePC","Turn3SinglePC","Turn3DoublePC","Turn4SinglePC","Turn4DoublePC","Turn1PC","Turn2PC","Turn3PC","Turn4PC"
"1","Alex Hulley_CanberraTrackClassic2019v2","Alex Hulley","CanberraTrackClassic2019v2",1,"X",1199,922,1278,990,1356,1057,NA,NA,40.72,40.66,NA,40.69,19.87,NA,19.61,NA,NA,NA,19.74,NA,26.22,25.85,NA,26.04,26.03,0.32,0.22,0.18,0.25,0.28,0.38,0.24,0.26,0.22,0.24,0.24,0.25,0.66,0.5,0.46,0.49,2.11,13,18,11,12,10,11,11,12,31,24,22,23
"2","Alex Hulley_CanberraTrackClassic2019v2","Alex Hulley","CanberraTrackClassic2019v2",2,"65.94",1028,973,1112,1049,NA,NA,NA,NA,42.14,NA,NA,42.14,21.12,NA,NA,NA,NA,NA,21.12,NA,28.48,NA,NA,28.48,28.48,0.32,0.24,0.16,0.23,0.28,0.36,0.22,0.29,0.25,0.21,0.28,0.23,0.64,0.51,0.46,0.51,2.12,13,17,10,14,12,10,13,11,30,24,22,24
"3","Alex Hulley_CanberraTrackClassic2019v2","Alex Hulley","CanberraTrackClassic2019v2",3,"65.93",1094,909,1177,985,1257,1059,NA,NA,42.48,42.77,NA,42.62,20.87,NA,20.12,NA,NA,NA,20.5,NA,28.3,27.41,NA,27.86,27.86,0.28,0.22,0.14,0.21,0.32,0.33,0.23,0.26,0.28,0.19,0.29,0.21,0.65,0.49,0.47,0.5,2.11,15,16,11,12,13,9,14,10,31,23,22,24
"4","Alex Hulley_CanberraTrackClassic2019v2","Alex Hulley","CanberraTrackClassic2019v2",4,"67.79",1147,904,1232,978,1318,1054,NA,NA,41.04,41.47,NA,41.25,21.38,NA,21.63,NA,NA,NA,21.5,NA,28.35,28.87,NA,28.61,28.6,0.3,0.21,0.18,0.26,0.32,0.34,0.24,0.24,0.24,0.21,0.27,0.26,0.66,0.48,0.45,0.53,2.12,15,16,11,11,11,10,13,12,31,23,21,25
"5","Alex Hulley_CanberraTrackClassic2019v2","Alex Hulley","CanberraTrackClassic2019v2",5,"65.16",961,925,1052,1003,NA,NA,NA,NA,40.6,NA,NA,40.6,22.88,NA,NA,NA,NA,NA,22.88,NA,30.13,NA,NA,30.13,30.13,0.3,0.23,0.17,0.21,0.28,0.34,0.23,0.25,0.25,0.21,0.32,0.21,0.62,0.48,0.46,0.53,2.09,13,16,11,12,12,10,15,10,30,23,22,25
"6","Alex Hulley_CanberraTrackClassic2019v2","Alex Hulley","CanberraTrackClassic2019v2",6,"X",1207,955,1279,1023,NA,NA,NA,NA,43.36,NA,NA,43.36,18.11,NA,NA,NA,NA,NA,18.11,NA,24.91,NA,NA,24.91,24.91,0.3,0.24,0.2,0.24,0.32,0.35,0.23,0.27,0.25,0.22,0.28,0.24,0.67,0.5,0.47,0.52,2.16,15,16,11,12,12,10,13,11,31,23,22,24
"7","Alex Hulley_MelbourneTrackClassic2020v2","Alex Hulley","MelbourneTrackClassic2020v2",1,"65.58",904,605,954,656,1008,712,1059,763,45.57,46.04,45,45.54,17.29,NA,18.67,NA,17.63,NA,17.86,NA,24.7,26.9,24.93,25.51,25.5,0.3,0.23,0.2,0.25,0.29,0.36,0.23,0.28,0.25,0.23,0.26,0.25,0.65,0.51,0.48,0.51,2.15,13,17,11,13,12,11,12,12,30,24,22,24
"8","Alex Hulley_MelbourneTrackClassic2020v2","Alex Hulley","MelbourneTrackClassic2020v2",2,"X",937,611,999,661,1058,713,1119,762,38.88,41.39,38.77,39.68,21.44,NA,20.4,NA,21.09,NA,20.98,NA,27.54,27.19,27.05,27.26,27.26,0.28,0.23,0.2,0.27,0.26,0.34,0.21,0.28,0.21,0.25,0.25,0.27,0.6,0.49,0.46,0.52,2.07,13,16,10,14,10,12,12,13,29,24,22,25
"9","Alex Hulley_MelbourneTrackClassic2020v2","Alex Hulley","MelbourneTrackClassic2020v2",3,"X",934,645,984,696,1034,746,1082,797,45.57,45,46.74,45.77,17.29,NA,17.29,NA,16.6,NA,17.06,NA,24.7,24.45,24.22,24.46,24.46,0.28,0.22,0.17,0.28,0.28,0.37,0.23,0.25,0.28,0.2,0.25,0.28,0.65,0.48,0.48,0.53,2.14,13,17,11,12,13,9,12,13,30,22,22,25
"10","Alex Hulley_MelbourneTrackClassic2020v2","Alex Hulley","MelbourneTrackClassic2020v2",4,"X",876,621,931,673,985,726,1037,780,43.39,44.46,46.08,44.64,19.02,NA,18.67,NA,17.98,NA,18.56,NA,26.17,26.16,25.92,26.08,26.08,0.28,0.22,0.19,0.24,0.31,0.34,0.22,0.29,0.22,0.24,0.27,0.24,0.65,0.51,0.46,0.51,2.13,15,16,10,14,10,11,13,11,31,24,22,24
"11","Alex Hulley_MelbourneTrackClassic2020v2","Alex Hulley","MelbourneTrackClassic2020v2",5,"63.23",889,608,946,659,1002,712,1056,764,41.82,43.42,43.92,43.05,19.71,NA,19.36,NA,18.67,NA,19.25,NA,26.45,26.65,25.92,26.34,26.34,0.32,0.23,0.16,0.26,0.28,0.4,0.21,0.29,0.25,0.22,0.25,0.26,0.68,0.5,0.47,0.51,2.16,13,19,10,13,12,10,12,12,31,23,22,24
"12","Alex Hulley_MelbourneTrackClassic2020v2","Alex Hulley","MelbourneTrackClassic2020v2",6,"64.24",896,616,951,668,1005,720,1057,772,43.39,43.92,45,44.1,19.02,NA,18.67,NA,17.98,NA,18.56,NA,26.17,25.92,25.43,25.84,25.85,0.28,0.22,0.14,0.24,0.3,0.37,0.23,0.29,0.25,0.21,0.27,0.24,0.67,0.52,0.46,0.51,2.16,14,17,11,13,12,10,12,11,31,24,21,24
"13","Alex Hulley_NationalChampionships2019v2","Alex Hulley","NationalChampionships2019v2",1,"X",830,552,880,600,NA,NA,974,695,43.83,NA,NA,43.83,18.12,NA,NA,NA,NA,NA,18.12,NA,25.12,NA,NA,25.12,25.12,0.32,0.22,0.18,0.25,0.36,0.38,0.26,0.26,0.26,0.24,0.26,0.25,0.74,0.52,0.5,0.51,2.27,16,17,11,11,11,11,11,11,33,23,22,22
"14","Alex Hulley_NationalChampionships2019v2","Alex Hulley","NationalChampionships2019v2",2,"64.97",779,601,833,652,884,701,NA,NA,43.36,43.85,NA,43.61,19.57,NA,18.49,NA,NA,NA,19.03,NA,26.92,25.64,NA,26.28,26.28,0.3,0.19,0.18,0.22,0.32,0.36,0.26,0.26,0.24,0.24,0.28,0.22,0.68,0.52,0.48,0.5,2.18,15,17,12,12,11,11,13,10,31,24,22,23
"15","Alex Hulley_NationalChampionships2019v2","Alex Hulley","NationalChampionships2019v2",3,"X",822,617,879,664,NA,NA,987,756,39.51,NA,NA,39.51,20.66,NA,NA,NA,NA,NA,20.66,NA,26.78,NA,NA,26.78,26.78,0.3,0.24,0.18,0.26,0.36,0.36,0.22,0.26,0.24,0.22,0.26,0.26,0.72,0.48,0.46,0.52,2.18,17,17,10,12,11,10,12,12,33,22,21,24
