"","dataname","Name","Competition","Round","Distance","InHandx","InHandy","OutHand1x","OutHand1y","OutHand2x","OutHand2y","OutHand3x","OutHand3y","Angle1","Angle2","Angle3","AngleAvg","HVel1","VVel1","HVel2","VVel2","HVel3","VVel3","HVelAvg","VVelAvg","RVel1","RVel2","RVel3","RVelAvg","RVelfromAvg","DUTurn1","DUTurn2","DUTurn3","DUTurn4","Turn1Single","Turn1Double","Turn2Single","Turn2Double","Turn3Single","Turn3Double","Turn4Single","Turn4Double","Turn1","Turn2","Turn3","Turn4","TotalTime","Turn1SinglePC","Turn1DoublePC","Turn2SinglePC","Turn2DoublePC","Turn3SinglePC","Turn3DoublePC","Turn4SinglePC","Turn4DoublePC","Turn1PC","Turn2PC","Turn3PC","Turn4PC"
"11","Alex Hulley_MelbourneTrackClassic2020","Alex Hulley","MelbourneTrackClassic2020",5,"63.23",889,608,946,659,1002,712,1056,764,41.82,43.42,43.92,43.05,19.59,17.21,19.24,17.88,18.55,17.54,19.13,17.54,26.29,26.49,25.75,26.18,26.18,0.32,0.23,0.16,0.26,0.28,0.4,0.21,0.29,0.25,0.22,0.25,0.26,0.68,0.5,0.47,0.51,2.16,13,19,10,13,12,10,12,12,31,23,22,24
"12","Alex Hulley_MelbourneTrackClassic2020","Alex Hulley","MelbourneTrackClassic2020",6,"64.24",896,616,951,668,1005,720,1057,772,43.39,43.92,45,44.1,18.9,17.54,18.55,17.54,17.87,17.54,18.44,17.54,26.01,25.75,25.27,25.68,25.68,0.28,0.22,0.14,0.24,0.3,0.37,0.23,0.29,0.25,0.21,0.27,0.24,0.67,0.52,0.46,0.51,2.16,14,17,11,13,12,10,12,11,31,24,21,24
"13","Alex Hulley_NationalChampionships2019","Alex Hulley","NationalChampionships2019",1,"X",830,552,880,600,NA,NA,974,695,43.83,NA,NA,43.83,18.42,17.43,NA,NA,NA,NA,18.42,17.43,25.53,NA,NA,25.53,25.53,0.32,0.22,0.18,0.25,0.36,0.38,0.26,0.26,0.26,0.24,0.26,0.25,0.74,0.52,0.5,0.51,2.27,16,17,11,11,11,11,11,11,33,23,22,22
"14","Alex Hulley_NationalChampionships2019","Alex Hulley","NationalChampionships2019",2,"64.97",779,601,833,652,884,701,NA,NA,43.36,43.85,NA,43.61,19.89,18.52,18.78,17.79,NA,NA,19.34,18.16,27.36,26.04,NA,26.7,26.71,0.3,0.19,0.18,0.22,0.32,0.36,0.26,0.26,0.24,0.24,0.28,0.22,0.68,0.52,0.48,0.5,2.18,15,17,12,12,11,11,13,10,31,24,22,23
"15","Alex Hulley_NationalChampionships2019","Alex Hulley","NationalChampionships2019",3,"X",822,617,879,664,NA,NA,987,756,39.51,NA,NA,39.51,20.99,17.07,NA,NA,NA,NA,20.99,17.07,27.21,NA,NA,27.21,27.21,0.3,0.24,0.18,0.26,0.36,0.36,0.22,0.26,0.24,0.22,0.26,0.26,0.72,0.48,0.46,0.52,2.18,17,17,10,12,11,10,12,12,33,22,21,24
"16","Alex Hulley_NationalChampionships2019","Alex Hulley","NationalChampionships2019",4,"65.48",840,652,896,700,949,746,1003,795,40.6,40.96,42.22,41.26,20.63,17.43,19.52,16.7,19.89,17.79,20.01,17.31,27.17,25.85,26.86,26.63,26.62,0.3,0.24,0.2,0.27,0.34,0.32,0.28,0.28,0.2,0.24,0.26,0.27,0.66,0.56,0.44,0.53,2.19,16,15,13,13,9,11,12,12,30,26,20,24
"17","Alex Hulley_NationalChampionships2019","Alex Hulley","NationalChampionships2019",5,"64.24",741,637,795,686,850,734,900,781,42.22,41.11,43.23,42.19,19.89,17.79,20.26,17.43,18.42,17.07,19.52,17.43,26.86,26.89,25.28,26.34,26.35,0.32,0.22,0.18,0.25,0.32,0.36,0.24,0.26,0.24,0.24,0.26,0.25,0.68,0.5,0.48,0.51,2.17,15,17,11,12,11,11,12,12,31,23,22,24
"18","Alex Hulley_NationalChampionships2019","Alex Hulley","NationalChampionships2019",6,"65.49",781,578,836,629,887,679,NA,NA,42.84,44.43,NA,43.64,20.26,18.52,18.78,18.15,NA,NA,19.52,18.34,27.63,26.3,NA,26.96,26.97,0.3,0.22,0.16,0.24,0.32,0.34,0.26,0.24,0.28,0.24,0.24,0.24,0.66,0.5,0.52,0.48,2.16,15,16,12,11,13,11,11,11,31,23,24,22
"19","Alex Hulley_NSWStateChamps2019","Alex Hulley","NSWStateChamps2019",1,"X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.32,0.22,0.2,0.28,0.28,0.4,0.24,0.28,0.24,0.24,0.24,0.28,0.68,0.52,0.48,0.52,2.2,13,18,11,13,11,11,11,13,31,24,22,24
"20","Alex Hulley_NSWStateChamps2019","Alex Hulley","NSWStateChamps2019",2,"60.1",704,627,747,671,794,719,842,766,45.66,45.6,44.4,45.22,15.91,16.09,17.39,17.55,17.76,17.19,17.02,16.94,22.76,24.85,24.86,24.16,24.16,0.34,0.26,0.2,0.24,0.3,0.38,0.22,0.3,0.24,0.26,0.28,0.24,0.68,0.52,0.5,0.52,2.22,14,17,10,14,11,12,13,11,31,23,23,23
