Comp,Sydney National Championships - Final,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,6th April 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATHLETE:,Louise Mendes,,,,,,,,,,,,,,PB,,,,,,,,,,,,,,,,
,Round,1,,2,,3,,4,,5,,6,,,,,,,,,,,,,,,,,,,
,,46.18,,49.07,,48.62,,X,,49.46,,X,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data entry,,,,,,,,,,,,,,,PB,,,,,,,,,,,,,,,,
,,x,y,x,y,x,y,x,y,x,y,x,y,,x,y,,,,,,,,,,,,,,,
Hammer coordinates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,In hand,796,475,877,478,832,478,867,546,881,491,972,558,,,,,,,,,,,,,,,,,,
Release,Out of hand 1,845,517,,,881,520,,,,,1021,596,,,,,,,,,,,,,,,,,,
Release + 1,Out of hand 2,896,559,969,561,,,955,622,976,578,1067,636,,,,,,,Calibration,,,,,,,,,,,
,Out of hand 3,,,1016,603,979,603,1000,660,1025,619,1113,676,,,,,,,,Dimensions of pole used (m),,,,,,,,,,
,,,,1063,644,1029,644,1043,701,1073,662,,,,,,,,,,x,2.07,,horizontal length,,,,,,,
,,,,,,,,,,,,,,,,,,,,,y,1.525,,height,,,,,,,
,,31.5,31.5,41.4,41.4,40.3,40.3,41.9,41.9,40.9,40.9,41.0,41.0,,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,
,,Angle of Release,Angle of Attack,Angle of Release,Angle of Attack,Angle of Release,Angle of Attack,Angle of Release,Angle of Attack,Angle of Release,Angle of Attack,Angle of Release,Angle of Attack,,Angle of Release,Angle of Attack,,,,,For 4 point Cal,,,,,,,,,,
,Angle of Release,39.5,-8.0,41.8,-0.3,39.4,0.9,40.2,1.7,39.9,1.0,41.0,0.0,,#DIV/0!,#DIV/0!,,,,Pt 1,808,31,Front of circle - ground,,,,,,,,
,,,,,,,,955,,,,,,,,,,,,Pt 2,811,451,Front of circle - 1.8m,,,,,scale factor,,,
,,x diff,y diff,x diff,y diff,x diff,y diff,x diff,y diff,x diff,y diff,x diff,y diff,,x diff,y diff,,,,Pt 3,249,451,Back of circle -1.8m,,,x,562,0.003683,,,
,,51.00,42.00,47.00,42.00,50.00,41.00,45.00,38.00,49.00,41.00,46.00,40.00,,0.00,0.00,,,,Pt 4,246,33,Back of circle - ground,,,y,420,0.003631,,,
,,0.19,0.15,0.17,0.15,0.18,0.15,0.17,0.14,0.18,0.15,0.17,0.15,,0.00,0.00,,,,,-36.8,,,,,36.8,,,,,
,Velocity,18.78,15.25,17.31,15.25,18.42,14.89,16.57,13.80,18.05,14.89,16.94,14.52,,0.00,0.00,,,,,Scale angle to horizontal,,,,,actual ground,,*used for Height of Release calc.,,,
,,,,,,,,,,,,,,,,,,,,Coversion if sampling frequency not picked up correctly.,,,,,,horizontal,vertical,,,,
,Height of Release,-1.764642857,,0.112559524,,-1.775535714,,-1.869940476,,0.112559524,,-2.051488095,,,0.112559524,,,,,,,Sampling rate,,,,x,y,,,,
,,,,,,,,,,,,,,,,,,,,fps,100.00,0.01,,,,808,31,,,,
,,,,,,,,,,,,,,,,,,,Swinger assumes (fps),,50,0.02,,,,,,,,,
