Comp,Canberra Track Classic,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,28th January 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATHLETE:,Sarah Ringrose,,,,,,,,,,,,,,PB,,,,,,,,,,,,,
,Round,1,,2,,3,,4,,5,,6,,,,,,,,,,,,,,,,
,,Angle of Release,Angle of Attack,Angle of Release,Angle of Attack,Angle of Release,Angle of Attack,Angle of Release,Angle of Attack,Angle of Release,Angle of Attack,Angle of Release,Angle of Attack,,Angle of Release,Angle of Attack,,,,,For 4 point Cal,,,,,,,
,Angle of Release,40,-0.7,41,3.6,35.2,-2.6,38.8,-0.6,35.9,7.4,39.4,-0.2,,#DIV/0!,#DIV/0!,,,,Pt 1,1332,117,Front of circle - ground,,,,,
,,,,,,,,,,,,,,,,,,,,Pt 2,1318,931,Front of circle - 1.8m,,,,,scale factor
,,x diff,y diff,x diff,y diff,x diff,y diff,x diff,y diff,x diff,y diff,x diff,y diff,,x diff,y diff,,,,Pt 3,146,919,Back of circle -1.8m,,,x,1178,0.002547
,,75,63,77,67,68,48,82,67,83,60,84,69,,0,0,,,,Pt 4,154,126,Back of circle - ground,,,y,814,0.002494
,,0.19,0.16,0.2,0.17,0.17,0.12,0.21,0.17,0.21,0.15,0.21,0.17,,0,0,,,,,-34.6,,,,,34.6,,
,Velocity,19.1,15.71,19.61,16.71,17.32,11.97,20.88,16.71,21.14,14.96,21.39,17.21,,0,0,,,,,Scale angle to horizontal,,,,,actual ground,,*used for Height of Release calc.
,,,,,,,,,,,,,,,,,,,,Coversion if sampling frequency not picked up correctly.,,,,,,horizontal,vertical,
,Height of Release,-1.965159705,,-2.09982801,,-1.618513514,,-1.703304668,,-2.09982801,,-1.740712531,,,0.291781327,,,,,,,Sampling rate,,,,x,y,
,,,,,,,,,,,,,,,,,,,,fps,100,0.01,,,,1332,117,
,,,,,,,,,,,,,,,,,,,Swinger assumes (fps),,50,0.02,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,conversion required,,1,*only used if conversion issue otherwise change,,,,
,,,,,,,,,,,,,,,,,,,,,,,, to 1 to avoid temporal data being adjusted,,,,
Calculated duration of interval from Right Foot Plant to Left Toe Up (or Heel Down - if so alter on front page) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turn 1,,0.24,,0.28,,0.28,,0.28,,0.26,,0.28,,,0,,,,,,,,,,,,,
Turn 2,,0.2,,0.22,,0.24,,0.22,,0.22,,0.22,,,0,,,,,,,,,,,,,
Turn 3,,0.27,,0.3,,0.34,,0.3,,0.32,,0.29,,,0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calculated times for single and double support phases and as a percentage of total throw time included in report,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turn 1,Single (s),0.4,,0.34,,0.36,,0.36,,0.36,,0.37,,,0,,,,,,,,,,,,,
,Double (s),0.35,,0.35,,0.43,,0.41,,0.41,,0.35,,,0,,,,,,,,,,,,,
Turn 2,Single (s),0.27,,0.31,,0.31,,0.29,,0.29,,0.29,,,0,,,,,,,,,,,,,
,Double (s),0.37,,0.34,,0.37,,0.33,,0.36,,0.33,,,0,,,,,,,,,,,,,
Turn 3,Single (s),0.27,,0.28,,0.27,,0.25,,0.26,,0.31,,,0,,,,,,,,,,,,,
,Double (s),0.27,,0.3,,0.34,,0.3,,0.32,,0.29,,,#REF!,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calculated throw time and time for each turn (and as percentage of total throw time on report),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turn 1,,0.75,,0.69,,0.79,,0.77,,0.77,,0.72,,,0,,,,,,,,,,,,,
Turn 2,,0.64,,0.65,,0.68,,0.62,,0.65,,0.62,,,0,,,,,,,,,,,,,
Turn 3,,0.54,,0.58,,0.61,,0.55,,0.58,,0.6,,,#REF!,,,,,,,,,,,,,
Total throw time,,1.93,,1.92,,2.08,,1.94,,2,,1.94,,,#REF!,,,,,,,,,,,,,
