Comp,Sydney National Championships - Final,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,6th April 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATHLETE:,Alex Hulley,,,,,,,,,,,,,,PB,,,,,,,,,,,,,,,,
,Round,1,,2,,3,,4,,5,,6,,,,,,,,,,,,,,,,,,,
,,X,,64.97,,X,,65.48,,64.24,,65.49,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data entry,,,,,,,,,,,,,,,PB,,,,,,,,,,,,,,,,
Turn 3,Single (s),0.26,,0.24,,0.24,,0.2,,0.24,,0.28,,,0,,,,,,,,,,,,,,,,
,Double (s),0.24,,0.24,,0.22,,0.24,,0.24,,0.24,,,0,,,,,,,,,,,,,,,,
Turn 4,Single (s),0.26,,0.28,,0.26,,0.26,,0.26,,0.24,,,0,,,,,,,,,,,,,,,,
,Double (s),0.25,,0.22,,0.26,,0.27,,0.25,,0.24,,,0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calculated throw time and time for each turn (and as percentage of total throw time on report),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turn 1,,0.74,,0.68,,0.72,,0.66,,0.68,,0.66,,,0.00,,,,,,,,,,,,,,,,
Turn 2,,0.52,,0.52,,0.48,,0.56,,0.50,,0.50,,,0.00,,,,,,,,,,,,,,,,
Turn 3,,0.50,,0.48,,0.46,,0.44,,0.48,,0.52,,,0.00,,,,,,,,,,,,,,,,
Turn 4,,0.51,,0.50,,0.52,,0.53,,0.51,,0.48,,,0.00,,,,,,,,,,,,,,,,
Total throw time,,2.27,,2.18,,2.18,,2.19,,2.17,,2.16,,,0.00,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
