Comp,Sydney Track Classic,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,23rd February 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATHLETE:,Sarah Ringrose,,,,,,,,,,,,,,PB,,,,,,,,,,,,,
,Round,1,,2,,3,,4,,5,,6,,,,,,,,,,,,,,,,
,,X,,51.76,,X,,X,,49.1,,X,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data entry,,,,,,,,,,,,,,,PB,,,,,,,,,,,,,
,,Angle of Release,Angle of Attack,Angle of Release,Angle of Attack,Angle of Release,Angle of Attack,Angle of Release,Angle of Attack,Angle of Release,Angle of Attack,Angle of Release,Angle of Attack,,Angle of Release,Angle of Attack,,,,,For 4 point Cal,,,,,,,
,Angle of Release,39.9,0.4,38.5,-0.7,35.1,0,37.3,0.7,38.3,-0.1,35.3,0,,#DIV/0!,#DIV/0!,,,,Pt 1,634,42,Front of circle - ground,,,,,
,,,,,,,,,,,,,,,,,,,,Pt 2,625,459,Front of circle - 1.8m,,,,,scale factor
,,x diff,y diff,x diff,y diff,x diff,y diff,x diff,y diff,x diff,y diff,x diff,y diff,,x diff,y diff,,,,Pt 3,45,448,Back of circle -1.8m,,,x,581,0.003701
,,43,36,50,43,48,34,44,33,54,41,48,34,,0,0,,,,Pt 4,53,32,Back of circle - ground,,,y,417,0.003657
,,0.16,0.13,0.19,0.16,0.18,0.12,0.16,0.12,0.2,0.15,0.18,0.12,,0,0,,,,,35.7,,,,,35.7,,
,Velocity,15.91,13.17,18.5,15.73,17.76,12.43,16.28,12.07,19.98,14.99,17.76,12.43,,0,0,,,,,Scale angle to horizontal,,,,,actual ground,,*used for Height of Release calc.
,,,,,,,,,,,,,,,,,,,,Coversion if sampling frequency not picked up correctly.,,,,,,horizontal,vertical,
,Height of Release,-2.073561151,,-2.073561151,,-2.19058753,,-1.956534772,,-2.157673861,,-2.351498801,,,0.153597122,,,,,,,Sampling rate,,,,x,y,
,,,,,,,,,,,,,,,,,,,,fps,100,0.01,,,,634,42,
,,20.75260655,,23.65211732,,21.70356281,,20.45951857,,25.44705583,,21.7670902,,,,,,,Swinger assumes (fps),,50,0.02,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,conversion required,,1,*only used if conversion issue otherwise change,,,,
,,,,,,,,,,,,,,,,,,,,,,,, to 1 to avoid temporal data being adjusted,,,,
Calculated duration of interval from Right Foot Plant to Left Toe Up (or Heel Down - if so alter on front page) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turn 1,,0.22,,0.26,,0.24,,0.24,,0.22,,0.24,,,0,,,,,,,,,,,,,
Turn 2,,0.2,,0.18,,0.22,,0.18,,0.24,,0.24,,,0,,,,,,,,,,,,,
Turn 3,,0.36,,0.36,,0.36,,0.28,,0.29,,0.36,,,0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calculated times for single and double support phases and as a percentage of total throw time included in report,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turn 1,Single (s),0.32,,0.34,,0.38,,0.36,,0.36,,0.36,,,0,,,,,,,,,,,,,
,Double (s),0.44,,0.44,,0.36,,0.4,,0.44,,0.38,,,0,,,,,,,,,,,,,
Turn 2,Single (s),0.26,,0.3,,0.28,,0.3,,0.26,,0.26,,,0,,,,,,,,,,,,,
,Double (s),0.3,,0.28,,0.28,,0.34,,0.34,,0.34,,,0,,,,,,,,,,,,,
Turn 3,Single (s),0.28,,0.28,,0.3,,0.26,,0.28,,0.28,,,0,,,,,,,,,,,,,
,Double (s),0.36,,0.36,,0.36,,0.28,,0.29,,0.36,,,#REF!,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calculated throw time and time for each turn (and as percentage of total throw time on report),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turn 1,,0.76,,0.78,,0.74,,0.76,,0.8,,0.74,,,0,,,,,,,,,,,,,
Turn 2,,0.56,,0.58,,0.56,,0.64,,0.6,,0.6,,,0,,,,,,,,,,,,,
Turn 3,,0.64,,0.64,,0.66,,0.54,,0.57,,0.64,,,#REF!,,,,,,,,,,,,,
Total throw time,,1.96,,2,,1.96,,1.94,,1.97,,1.98,,,#REF!,,,,,,,,,,,,,
